timestamp,user_text,bot_reply
2026-02-10T19:36:15,How can I book a tour?,"• Select a package or request a custom tour, confirm travel dates and the number of travelers, pay an advance of 30–50%, receive confirmation, and complete the remaining payment before Booking is simple: select a package or request a custom tour, confirm travel dates and the number of travelers, pay an advance of 30–50%, receive confirmation, and complete the remaining payment before"
2026-02-10T19:36:31,How much does a tour cost?,"• PKR 120,000–200,
• Luxury trips with premium hotels, Corporate and group tours provide team
• building activities, conference arrangements, and discounted group pricing. Customized private tours allow travelers to choose fully tailor
• made itineraries, flexible travel dates, hotels, and transport city tours are available year"
2026-02-10T19:36:37,hello,• Please select a question from the predefined list.
2026-02-10T19:37:10,How can I book a tour?,"• Select a package or request a custom tour, confirm travel dates and the number of travelers, pay an advance of 30–50%, receive confirmation, and complete the remaining payment before Booking is simple: select a package or request a custom tour, confirm travel dates and the number of travelers, pay an advance of 30–50%, receive confirmation, and complete the remaining payment before"
2026-02-10T19:52:23,How can I book a tour?,"• Select a package or request a custom tour, confirm travel dates and the number of travelers, pay an advance of 30–50%, receive confirmation, and complete the remaining payment before Booking is simple: select a package or request a custom tour, confirm travel dates and the number of travelers, pay an advance of 30–50%, receive confirmation, and complete the remaining payment before"
2026-02-10T19:52:53,hello how can i book a tour?,"• booking is simple: select a package or request a custom tour, confirm travel dates and the number of travelers, pay an advance of 30–50%, receive confirmation, and complete the remaining payment before tours, making travel convenient and budget
• friendly. We cater to small groups as well as large gatherings, adjusting itineraries to accommodate everyone’s interests. Group tours foster social interaction and offer safety in numbers. Corporate and group tours provide team
• building activities, conference arrangements, and discounted group pricing. Customized private tours allow travelers to choose fully tailor
• made itineraries, flexible travel dates, hotels, and transport"
2026-02-10T19:57:08,Do you provide guided tours?,"• Yes, we provide photography tour packages designed for landscapes, wildlife, and cultural experiences. These tours focus on scenic locations like Hunza, Skardu, Fairy Meadows, and historical cities. activities under professional supervision.
• Yes, we can create itineraries specifically for solo travelers, ensuring safety, comfort, and engagement. Solo trips often include private transport, trusted accommodations, and guided tours to help demonstrations, and stick to well
• known routes. Using registered tour operators, trusted guides, and hotel
• recommended transportation significantly reduces risks. Tourist areas, cultural centers, and historical landmarks are well
• visited and"
2026-02-10T19:57:27,hi,• idk idk idk idk idk idk idk idk idk idk idk idk idk idk idk idk idk idk idk idk idk idk idk idk idk idk idk idk idk idk idk idk idk idk idk idk idk idk idk idk idk idk idk idk idk idk idk idk idk idk
2026-02-10T19:57:56,can i call you to know about pckages?,"• Yes, we provide photography tour packages designed for landscapes, wildlife, and cultural experiences. These tours focus on scenic locations like Hunza, Skardu, Fairy Meadows, and historical cities."
2026-02-10T20:18:52,tell me about yourself?,"• If answer is not in context, say: ""Information not found in the document."""
2026-02-10T20:19:13,tell me about the package?,"• Packages are tailored for beginner, intermediate, or experienced trekkers, with options for day hikes or multi
• day expeditions"
2026-02-10T20:19:43,tell me about the tour packages?,"• All tour packages include hotel accommodation on a sharing basis, transport with fuel, a professional driver, tour guide where required, daily breakfast, and basic first aid"
